dbn,school_name,boro,total_students
09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,605
09X250,Eximius College Preparatory Academy: A College Board School,Bronx,423
09X252,Mott Hall Bronx High School,Bronx,379
09X260,Bronx Center for Science and Mathematics,Bronx,461
09X263,Validus Preparatory Academy: An Expeditionary Learning School,Bronx,374
09X276,Leadership Institute,Bronx,227
09X297,Morris Academy for Collaborative Studies,Bronx,464
09X324,Bronx Early College Academy for Teaching & Learning,Bronx,508
09X327,Comprehensive Model School Project M.S. 327,Bronx,543
09X329,DreamYard Preparatory School,Bronx,345
09X350,New Directions Secondary School,Bronx,107
09X365,Academy for Language and Technology,Bronx,301
09X403,Bronx International High School,Bronx,414
09X404,School for Excellence,Bronx,396
09X412,Bronx High School of Business,Bronx,359
09X413,Bronx High School for Medical Science,Bronx,465
09X505,"Bronx School for Law, Government and Justice",Bronx,773
09X517,Frederick Douglass Academy III Secondary School,Bronx,410
09X525,Bronx Leadership Academy High School,Bronx,711
09X543,High School for Violin and Dance,Bronx,378
09X564,Claremont International HS,Bronx,171
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),Bronx,1355
10X213,Bronx Engineering and Technology Academy,Bronx,420
10X225,Theatre Arts Production Company School,Bronx,581
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,573
10X243,West Bronx Academy for the Future,Bronx,611
10X264,Bronx Academy for Software Engineering (BASE),Bronx,112
10X268,Kingsbridge International High School,Bronx,443
10X284,Bronx School of Law and Finance,Bronx,435
10X342,International School for Liberal Arts,Bronx,543
10X351,Bronx Collaborative High School,Bronx,90
10X353,World View High School,Bronx,71
10X368,In-Tech Academy (M.S. / High School 368),Bronx,1036
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),Bronx,467
10X433,High School for Teaching and the Professions,Bronx,499
10X434,Belmont Preparatory High School,Bronx,410
10X437,Fordham High School for the Arts,Bronx,407
10X438,Fordham Leadership Academy for Business and Technology,Bronx,460
10X439,Bronx High School for Law and Community Service,Bronx,403
10X440,DeWitt Clinton High School,Bronx,2746
10X442,"Celia Cruz Bronx High School of Music, The",Bronx,436
10X445,Bronx High School of Science,Bronx,3037
10X477,Marble Hill High School for International Studies,Bronx,447
10X524,Crotona International High School,Bronx,252
10X546,Bronx Theatre High School,Bronx,435
10X549,Discovery High School,Bronx,542
10X565,High School for Energy and Technology,Bronx,211
10X696,High School of American Studies at Lehman College,Bronx,387
11X249,Bronx Health Sciences High School,Bronx,345
11X253,Bronx High School for Writing and Communication Arts,Bronx,413
11X265,Bronx Lab School,Bronx,476
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Bronx,437
11X275,High School of Computers and Technology,Bronx,556
11X288,Collegiate Institute for Math and Science,Bronx,656
11X290,Bronx Academy of Health Careers,Bronx,461
11X299,Astor Collegiate Academy,Bronx,474
11X418,Bronx High School for the Visual Arts,Bronx,509
11X455,Harry S Truman High School,Bronx,1911
11X508,Bronxdale High School,Bronx,332
11X509,High School of Language and Innovation,Bronx,255
11X513,New World High School,Bronx,401
11X514,The Bronxwood Preparatory Academy,Bronx,414
11X542,Pelham Preparatory Academy,Bronx,480
11X544,High School for Contemporary Arts,Bronx,518
11X545,Bronx Aerospace High School,Bronx,404
12X242,Mott Hall V,Bronx,651
12X248,"Metropolitan High School, The",Bronx,313
12X251,Explorations Academy,Bronx,357
12X267,Bronx Latin,Bronx,523
12X271,East Bronx Academy for the Future,Bronx,609
12X278,Peace and Diversity Academy,Bronx,189
12X372,Urban Assembly School for Wildlife Conservation,Bronx,552
12X388,Pan American International High School at Monroe,Bronx,401
12X478,THE CINEMA SCHOOL,Bronx,318
12X479,Bronx Career and College Preparatory High School,Bronx,323
12X511,Bronx Envision Academy,Bronx,239
12X521,The Metropolitan Soundview High School,Bronx,316
12X550,High School of World Cultures,Bronx,388
12X682,Fannie Lou Hamer Freedom High School,Bronx,493
12X684,Wings Academy,Bronx,534
12X692,Monroe Academy for Visual Arts & Design,Bronx,460
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,503
13K350,Urban Assembly High School of Music and Art,Brooklyn,394
13K412,"Brooklyn Community High School of Communication, Arts and Media",Brooklyn,401
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",Brooklyn,537
13K430,Brooklyn Technical High School,Brooklyn,5458
13K439,Brooklyn International High School,Brooklyn,343
13K483,The Urban Assembly School for Law and Justice,Brooklyn,449
13K499,ACORN Community High School,Brooklyn,623
13K527,Urban Assembly Institute of Math and Science for Young Women,Brooklyn,508
13K595,Bedford Academy High School,Brooklyn,361
13K605,George Westinghouse Career and Technical Education High School,Brooklyn,702
13K670,Benjamin Banneker Academy,Brooklyn,907
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",Brooklyn,451
14K071,Juan Morel Campos Secondary School,Brooklyn,778
14K322,Foundations Academy,Brooklyn,110
14K449,"Brooklyn Latin School, The",Brooklyn,592
14K454,Green School: An Academy for Environmental Careers,Brooklyn,328
14K474,PROGRESS High School for Professional Careers,Brooklyn,1083
14K477,School for Legal Studies,Brooklyn,641
14K478,"The High School for Enterprise, Business and Technology",Brooklyn,1016
14K488,Brooklyn Preparatory High School,Brooklyn,489
14K558,Williamsburg High School for Architecture and Design,Brooklyn,579
14K561,Williamsburg Preparatory School,Brooklyn,671
14K586,Lyons Community School,Brooklyn,546
14K610,Automotive High School,Brooklyn,420
14K614,Young Women's Leadership School of Brooklyn,Brooklyn,351
14K632,Frances Perkins Academy,Brooklyn,157
14K685,El Puente Academy for Peace and Justice,Brooklyn,225
15K423,Brooklyn Frontiers High School,Brooklyn,169
15K429,Brooklyn School for Global Studies,Brooklyn,275
15K448,Brooklyn Secondary School for Collaborative Studies,Brooklyn,670
